thesis_id,rank,neighbor_id,cosine_similarity
2450921667,6,2739276774,0.878
2450921667,7,2691264801,0.8397
2450921667,8,2691264801,0.8397
2450921667,9,2596036086,0.8341
2450921667,10,2596036086,0.8341
2453517859,1,2455566973,0.8429
2453517859,2,2455566973,0.8429
2453517859,3,2691928235,0.8341
2453517859,4,2640810128,0.8056
2453517859,5,2596036086,0.7877
2453517859,6,2596036086,0.7877
2453517859,7,2596036086,0.7877
2453517859,8,2708259113,0.7876
2453517859,9,2708259113,0.7876
2453517859,10,2738034840,0.7805
2450741709,1,2697982030,0.8203
2450741709,2,2697982030,0.8203
2450741709,3,2872572197,0.8005
2450741709,4,2872572197,0.8005
2450741709,5,2596535850,0.7101
2450741709,6,2596535850,0.7101
2450741709,7,2727406314,0.7062
2450741709,8,2868332208,0.7021
2450741709,9,2737834980,0.7009
2450741709,10,2726980691,0.7
2526396487,1,2453337453,0.8184
2526396487,2,2737859065,0.8021
2526396487,3,2451153142,0.7896
2526396487,4,2727248299,0.7795
2526396487,5,2727248299,0.7795
2526396487,6,2727248299,0.7795
2526396487,7,2868448783,0.779
2526396487,8,2738325082,0.7627
2526396487,9,2723191375,0.7561
2526396487,10,2869882212,0.7552
2596670150,1,2612463962,0.8891
2596670150,2,2733713111,0.8598
2596670150,3,2521331997,0.8544
2596670150,4,2875083387,0.854
2596670150,5,2467168807,0.8509
2596670150,6,2452917498,0.8436
2596670150,7,2452917498,0.8436
2596670150,8,2451028716,0.8419
2596670150,9,2872712984,0.8412
2596670150,10,2868295212,0.8377
2597319260,1,2702623454,0.8819
2597319260,2,2702623454,0.8819
2597319260,3,2452917425,0.8422
2597319260,4,2452917425,0.8422
2597319260,5,2451175609,0.8344
2597319260,6,2451175609,0.8344
2597319260,7,2698898188,0.8318
2597319260,8,2868333158,0.8107
2597319260,9,2869882212,0.7982
2597319260,10,2869882212,0.7982
2683895789,1,2707790592,0.8195
2683895789,2,2489514286,0.7813
2683895789,3,2872888921,0.7764
2683895789,4,2727821633,0.7707
2683895789,5,2727821633,0.7707
2683895789,6,2451314127,0.7649
2683895789,7,2451314127,0.7649
2683895789,8,2451314127,0.7649
2683895789,9,2496058331,0.7604
2683895789,10,2712470358,0.7495
2693468616,1,2727790420,0.6553
2693468616,2,2728437623,0.5866
2693468616,3,2733712447,0.577
2693468616,4,2733712447,0.577
2693468616,5,2723443596,0.5646
2693468616,6,2873643588,0.5631
2693468616,7,2873643588,0.5631
2693468616,8,2727909674,0.5605
2693468616,9,2727909674,0.5605
2693468616,10,2727909674,0.5605
2691928375,1,2713135988,0.8935
2691928375,2,2872641177,0.8931
2691928375,3,2872641177,0.8931
2691928375,4,2727406403,0.8911
2691928375,5,2734246630,0.8251
2691928375,6,2734246630,0.8251
2691928375,7,2727406314,0.7709
2691928375,8,2737855453,0.7629
2691928375,9,2596859497,0.756
2691928375,10,2691159530,0.7416
2713136028,1,2854137643,0.9524
2713136028,2,2727629200,0.9363
2713136028,3,2874172468,0.9143
2713136028,4,2713316539,0.8858
2713136028,5,2713316539,0.8858
2713136028,6,2869610924,0.864
2713136028,7,2872693672,0.8612
2713136028,8,2713322580,0.8586
2713136028,9,2713322580,0.8586
2713136028,10,2713136029,0.8534
2713409600,1,2869953485,0.8085
2713409600,2,2869953485,0.8085
2713409600,3,2692804509,0.7955
2713409600,4,2692804509,0.7955
2713409600,5,2713397950,0.7819
2713409600,6,2713397950,0.7819
2713409600,7,2874581367,0.7718
2713409600,8,2874581367,0.7718
